,Doc Id,Cleaned Text,Sentiment
0,0,excel reason smart creativ colleg student blacklivesmatt byu http,Negative
1,1,to overcom racial inequ must confront histori http blacklivesmatt criticalracetheori,Positive
2,2,we hypocrit want god hypocrit entrap god joint enterpris thou http,Negative
3,3,defund delriopolic blacklivesmatt,Negative
4,4,jordan edward blacklivesmatt,Negative
5,5,whoso offereth prais glorifieth ordereth convers aright i shew salvat http,Positive
6,6,now consid ye forget god lest i tear piec none deliv psalm http,Negative
7,7,these thing hast thou done i kept silenc thou thoughtest i altogeth one thyself http,Positive
8,8,pennstat blacklivesmatt justiceforal,Negative
9,9,eric garner saytheirnam blacklivesmatt,Negative
10,10,eupalestinian run crime apartheidisrael similar blacklivesmatt america get http,Negative
11,11,year ago today chri hani assassin awb terror group respons http,Positive
12,12,terrenc sterl blacklivesmatt,Negative
13,13,david isom broke color line segreg pool florida june result offici http,Positive
14,14,sunday dab day blacklivesmatt dabup besaf http,Negative
15,15,sun may austin texa polic open fire crowd protest throw water watch http,Negative
16,16,medium introduc larg network writer casira cope one http,Negative
17,17,buffalo polic offic clear wrongdo shove elderli man ground protest cbc http,Positive
18,18,sound gay i in magnet http make statement design blacklivesmatt http,Negative
19,19,stenograph marionett satan warmong war profit ow giletsjaun http,Positive
20,20,air pollut is racist disproportion poison commun color http,Negative
21,21,if anyon actual dumb enough give money gaggl scammer like blacklivesmatt http,Negative
22,22,it time defundthedunkirkpolic blacklivesmatt,Negative
23,23,eric garner blacklivesmatt,Positive
24,24,ah ye i rememb incid not surpris decis side polic arbit chosen http,Negative
25,25,what opera violent two thing happen violenc love and name someth els you http,Positive
26,26,ding ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,Negative
27,27,defund fairbankspolic blacklivesmatt,Negative
28,28,shout shout shout in violent time sell soul blacklivesmatt http,Negative
29,29,sat jul portland oregon two usna graduat pepper spray watch http http,Positive
30,30,goodnight nerd and rememb blacklivesmatt transrightsarehumanright wearamask,Negative
31,31,whitey would rather say pyramid built alien admit histori that black hand http,Positive
32,32,yesterday i attend book sign make the blacklivesmatt mural amp rec autograph copi http,Negative
33,33,idiot charg femal cop knife it end in tear http karen meme karenmem http,Negative
34,34,resistenzanow hamradiojo mychickendinn shimmeringfenix gopisdirti http,Negative
35,35,ding ding amp ding ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,Positive
36,36,let play ear tonight we are live http blacklivesmatt http,Negative
37,37,ladonnapari deserv help assault tulsapd fire racist thugcop ronnicarrocia http,Positive
38,38,so mani nurs racist the way treat black peopl amp poc disgust anyon healthcar http,Negative
39,39,just forget breonna taylor sayhernam neverforget kentucki breonnataylor nomoresil blacklivesmatt,Negative
40,40,laquan mcdonald blacklivesmatt,Negative
41,41,fri aug portland oregon offic grab shove protest watch http http,Positive
42,42,hush money how one woman prove system racism workplac kept job jacqui abram http,Negative
43,43,you know alreadi boycottnestl nestl violat humanright blacklivesmatt codehero codehero savel http,Positive
44,44,do ignor i black mom disabl struggl kid affect typhoon http,Negative
45,45,jamar clark blacklivesmatt,Negative
46,46,my friend marshal racist toward black peopl he said n word blm blacklivesmatt racism cancelwillsmith cancel,Negative
47,47,entitl karen tourist visit island call cop local kid she relax http http,Positive
48,48,ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,Negative
